molecule,smiles,qed,sas,logp,tpsa,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23a00>,Cc1nc2cc(NC(=O)N(CCO)C(C)C)ccc2n1C,0.905776699665037,2.327130260108282,2.11632,70.39000000000001,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23a70>,Cc1cccc(-c2cc(COC(=O)c3cnccn3)n[nH]2)c1,0.7477751701312131,2.4527296071867557,2.53212,80.75999999999999,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23ae0>,COCCCN(Cc1ccncc1)c1ncnc2c1cnn2C,0.6197077094020117,2.5370830565559235,1.8014000000000001,68.96000000000001,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23b50>,Cc1ccc(Cl)cc1NC(=O)c1cncc(F)c1,0.9028246952520033,1.819692964453452,3.434820000000001,41.99,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23bc0>,CC(=O)Nc1ccc(O)c(C(=O)NCCc2nc(C(C)C)no2)c1,0.6947225126452505,2.247429307486522,1.8294999999999997,117.35000000000001,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23c30>,CN(CCO)C(=O)Nc1ccc(N)cc1S(C)(=O)=O,0.6811812715300645,2.3202960204475946,0.1282999999999997,112.72999999999999,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23ca0>,CN(Cc1ccncc1)C(=O)c1cc2c(s1)CCC(C)(C)C2=O,0.8652702263888323,2.7008291960507584,3.570400000000003,50.27,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23d10>,COCCc1ccccc1OCC(=O)Nc1ccccn1,0.848045391522093,1.867838324089167,2.2880000000000003,60.45,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23d80>,CCc1nc(CC(=O)NC(C)(C)c2cccc(F)c2)cs1,0.9191919529489991,2.372188978522356,3.4386000000000028,41.99,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23df0>,CN(Cc1ccccn1)Cc1nc2ccccc2c(=O)[nH]1,0.7931852107587787,2.175452195463695,1.9500999999999997,61.88,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23e60>,COc1ccc(C(=O)Nc2ccc(C)c(F)c2F)cc1OC,0.9395233964435541,1.801816434109833,3.542720000000002,47.56,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23ed0>,Cc1nn(-c2ccc(F)cc2)c2sc(C(=O)NCC3CCCO3)cc12,0.7762893706976918,2.73654084555754,3.4433200000000017,56.150000000000006,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23f40>,CN1CCN(C(=O)c2csc(-c3ccsc3)n2)C(c2ccccc2)C1,0.7000905035368413,2.8102061511423653,4.000500000000002,36.44,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8040>,COCC1CC(NC(=O)c2ccc3c(c2)OCO3)CN1C,0.8918723501524606,3.078001511582471,0.8642000000000001,60.03000000000001,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b80b0>,CCN(CCC#N)C(=O)CCSc1ccc(C)cn1,0.7189013900421923,2.4882733266885246,2.634400000000001,56.99,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8120>,Cn1cc(-c2nc(CCNC(=O)C3(C#N)CCC3)cs2)cn1,0.9130620492843515,2.7597241016036307,1.8961799999999998,83.60000000000001,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8190>,CCCN(C)C(=O)c1cc(CCC(=O)N2CCOCC2)n[nH]1,0.8381622851436915,2.5825290643827863,0.6831000000000003,78.53,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8200>,CCC(=O)N1CCN(Cc2nc(-c3cnn(C)c3)no2)CC1,0.8192194995415214,2.356485994549395,0.5242999999999995,80.29,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8270>,CCc1nc(C2CCN(C(=O)Cc3ccc(OC)c(F)c3)CC2)no1,0.8317845719077187,2.307149611041215,2.7284000000000015,68.46000000000001,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b82e0>,Cc1occc1CN(C)C(=O)Cc1csc(-c2ccsc2)n1,0.7099391258461517,2.582485994549394,3.9741200000000028,46.34,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8350>,Cc1[nH]c(-c2ncccn2)nc1Cc1c[nH]c2ccccc12,0.6079522719898275,2.5162043039323194,3.2472200000000013,70.25,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b83c0>,COc1ccc(C(=O)N(C)C2CCCC2C)cc1OC,0.8490123708924543,2.7017007494788015,2.9644000000000013,38.769999999999996,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8430>,CCn1cc(NC(=O)CNC(=O)c2cccc(Cl)c2)ccc1=O,0.8764931376143258,1.9787868883584494,1.8900999999999994,80.2,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b84a0>,CCC(=O)Nc1ccc(NC(=O)NC(C)c2cccnc2)c(C)c1,0.7844620420271068,2.4034449449438213,3.621220000000002,83.12,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8510>,Cc1noc(C2CCN(C(=O)N(C)Cc3cccc(Cl)c3)CC2)n1,0.8516992481209811,2.361524206704951,3.4628200000000025,62.470000000000006,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8580>,COc1ccc(OCCC(=O)Nc2ccncc2)cc1,0.8773217945717224,1.67404072907844,2.4978000000000007,60.45,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b85f0>,C=CCn1nc(C(=O)N2CCCCCC2)ccc1=O,0.7737157282726267,2.240679712755286,1.4454999999999998,55.2,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8660>,CCOc1ccc(NC(=O)c2oc3ccccc3c2N)c(C)c1,0.7639434300403218,2.029215512618805,3.974420000000001,77.49,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b86d0>,Cc1ccc(N2CC(C(=O)NCC(F)(F)F)CC2=O)cc1,0.9282874626968213,2.487216326979059,2.02642,49.410000000000004,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8740>,CN(CC(=O)NC1CC1)C(=O)c1ccc(OCC(=O)NC2CC2)cc1,0.7257794309274711,1.9865335104241346,0.6946000000000006,87.74000000000001,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b87b0>,Cc1onc(-c2ccccn2)c1C(=O)N(C)Cc1cccs1,0.7406543638023355,2.379165115428515,3.378720000000002,59.230000000000004,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8820>,Cc1ccc(C(=O)N2CCC3(CCCC(=O)N3Cc3ccco3)C2)s1,0.8444015808148256,3.6305169933999766,3.446920000000002,53.760000000000005,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8890>,CC(C)NC(=O)C1CCN(C(=O)NCCNc2cnccn2)CC1,0.6694802220305923,2.3168947949402448,0.8347000000000011,99.25,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8900>,CCCC(O)c1ccnc(N2CCc3ccccc3C2)n1,0.9370758105370068,2.8227151655003304,2.8728000000000016,49.25000000000001,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8970>,CC(=O)c1ccc(OCC(=O)NCC2(N3CCOCC3)CCCC2)cc1,0.7538119317262411,2.3288793356175077,2.0291999999999994,67.87,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b89e0>,CC(=O)c1c(C)[nH]c(C(=O)CSc2nnc3n2CCCCC3)c1C,0.664382671409365,2.563353355080718,3.127040000000002,80.64000000000001,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8a50>,Cn1cc(-c2ccc(NC(=O)CC3CCCC3)cc2)cn1,0.9314617631749356,1.9698254615418787,3.6059000000000028,46.92,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8ac0>,Cc1csc(SCC(=O)Nc2ccc(OC(F)F)c(F)c2)n1,0.8040673888051793,2.2373185652573753,3.9228200000000015,51.22,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8b30>,CCC(=O)N1CCCN(C(=O)c2ccnc(OC3CCC3)c2)CC1,0.8474800324445816,2.2480834827230503,2.0974,62.74000000000001,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8ba0>,COc1cccc(C(=O)N2CCOC(c3ccccc3)C2)c1O,0.9461080522147477,2.454816969767318,2.614500000000001,59.0,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8c10>,COc1ccc(C(O)CNc2ccc(F)c(F)c2)cc1OC,0.8605996880796827,2.3609631241969105,3.1275000000000013,50.72,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8c80>,CCc1nc(CC(=O)NCc2ccnc(OC3CCC3)c2)cs1,0.8471511677230159,2.4037817310157923,2.8907000000000016,64.11,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8cf0>,CNC(=O)c1ccc(NC(=O)c2ccc(OC)c(OC)c2)cc1,0.8877258929386221,1.5680234268199875,2.3157000000000005,76.66000000000001,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8d60>,COCCc1csc(NC(=O)c2cc(F)ccc2O)n1,0.8886414355215044,2.134917718468362,2.4290000000000007,71.45,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8dd0>,CCCn1nc(C(=O)N2CCCCC2Cn2cccn2)ccc1=O,0.8340225321348853,2.9135499217321197,1.5447000000000002,73.02000000000001,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8e40>,CC(C)CNC(=O)c1sccc1-n1cnnn1,0.8830970441554109,2.475138697225171,1.1095999999999997,72.7,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8eb0>,Cc1noc(C)c1NC(=O)N(C)Cc1ccccc1C(=O)NC(C)C,0.8723316130553297,2.302489697715105,3.0935400000000017,87.47,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8f20>,CC1CN(CCNC(=O)C2CC2)CC(c2cnn(C)c2)O1,0.8680791105785199,3.2952010813347528,0.7080999999999997,59.39,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b8f90>,Cc1cccc(CNC(=O)c2nn(C)c(=O)c3ccccc23)c1,0.8063490210787078,1.8764583528554901,2.17192,63.99,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9000>,CCOC(=O)C1=C(C)C(C(=O)CN2CCCC2=O)=NC1C,0.7054888644501179,3.3931871771814883,0.9005999999999998,76.04,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9070>,Cc1cccc2c1N(C)C(c1cccc(F)c1)C(=O)C2=O,0.7547634283674852,2.808317513632696,3.077020000000001,37.38,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b90e0>,COC(=O)C(NCCc1cccc(F)c1)C(C)C,0.7894814788791168,2.3769674765031095,2.1553999999999993,38.33,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9150>,COc1cccc(NC(=O)N=c2[nH]nc3cc(C)ccn23)c1,0.7595499747462797,2.7895783022417024,2.1122199999999998,83.77999999999999,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b91c0>,Cc1ccc2oc(C(=O)NCCc3cc(F)cc(F)c3)cc2n1,0.8025319658162319,2.2152353942756076,3.3869200000000017,55.13,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9230>,CCc1nnc(NC(=O)C2CCN(C(=O)c3ccoc3)CC2)s1,0.9256537847842978,2.3546299827640436,2.1844,88.33,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b92a0>,CC(C)c1nnc(NC(=O)CCNC(=O)c2ccccc2)s1,0.8564796998433134,1.9470040023480468,2.4201000000000006,83.97999999999999,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9310>,CCN1CC(C(=O)NCC(C)(C)c2ccncc2)CC1=O,0.8896066803968015,2.851541386311739,1.3437999999999992,62.300000000000004,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9380>,COc1ccc(OC(=O)CCC(=O)c2ccc(C)s2)cc1,0.4643632041501413,1.9649270624139152,3.6336200000000023,52.6,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b93f0>,CC1CCCN(c2ncc3c(n2)CCC3)C1CCC#N,0.8471528527589474,3.6582789120059305,2.8739800000000013,52.81,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9460>,Cc1n[nH]c(C)c1S(=O)(=O)N1CCOc2ccccc21,0.9125434705839767,2.423456729457371,1.61424,75.29,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b94d0>,C#CCN1CCN(C(=O)NC(C)c2ccc(C)s2)CC1,0.8655513165768528,2.9125889212558516,2.0779199999999998,35.58,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9540>,CCCn1c(NC(=O)C2CCC2)nc2ccccc21,0.9139857429114385,1.9424284307040036,3.1849000000000016,46.92,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b95b0>,COc1cccc(-n2ccnc2SCCC(C)C#N)c1,0.7627137353800645,2.905662591007152,3.522780000000002,50.84,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9620>,CCOC(=O)c1nn2c(C)c(CC)[nH]c2c1C,0.827840324919042,3.083061230669987,2.0183400000000002,59.38999999999999,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9690>,CC(C)Oc1cccc(CNC(=O)NCc2cccnc2)c1,0.8618344570912593,1.8904046758680764,2.8682000000000016,63.25,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9700>,Cc1nn(C2CCCCC2)c(C)c1C1CN(C(=O)N(C)C)CCO1,0.8350723673612704,3.1973751401217765,3.0600400000000016,50.6,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9770>,CN(C)S(=O)(=O)c1cccc(Oc2cnccn2)c1,0.8480916939743909,2.1537424123198736,1.5192,72.39,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b97e0>,COCc1noc(C2CCCN(c3cnccn3)C2)n1,0.8339335673553835,2.9899982665715523,1.39,77.17,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9850>,Cc1cc(NC(=O)c2ccoc2C)ccc1C(=O)NC(C)(C)C,0.9075724507892748,2.106723395802618,3.6770400000000016,71.34,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b98c0>,CC(=O)Nc1ccc(F)c(NCc2ccccc2)c1,0.8821153286318184,1.5943386871142629,3.396200000000001,41.13,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9930>,CCCNC(=O)c1cnn2c1CN(C(=O)NCCC)CC2,0.8483383845068552,2.5731158498976203,0.9580999999999997,79.26,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b99a0>,CCc1cnc(CNc2ccc(Oc3ncccn3)cc2)o1,0.750933783876534,2.430560516950072,3.431400000000002,73.07000000000001,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9a10>,CCS(=O)(=O)N1CCC(CC(=O)NCc2ccc(C)cc2)CC1,0.8632738767096452,2.028732561435371,2.06302,66.48,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9a80>,CCOc1cc(NCc2nc3cc(Cl)ccc3[nH]2)ncn1,0.7575044146179796,2.416863292563317,3.017100000000001,75.72,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9af0>,Cc1ncc(CN2CCN(c3nc(C)c(C)s3)CC2)s1,0.872607173115637,2.426784621302369,2.8470600000000017,32.260000000000005,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9b60>,COC(=O)c1cc(-c2ccc(Br)cc2)on1,0.7946049379484097,1.9650900138098706,2.8907000000000016,52.33,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9bd0>,CCc1cc2c(=O)n(-c3ccc(OC)cc3)cnc2s1,0.7431223388478058,2.1580380625979156,3.018200000000001,44.120000000000005,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9c40>,Cc1cc(NC(=O)Cc2ccc(Br)cc2)no1,0.9468553909389597,1.882624274148247,2.9267200000000004,55.13,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9cb0>,COCCn1ccc(NC(=O)C(NC(=O)c2cccnc2)C(C)C)n1,0.7517527788332207,2.692537823579517,1.3175999999999997,98.14,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9d20>,Cc1noc(C2CCCN2C(=O)CCc2c[nH]c3ccccc23)n1,0.7996981952791024,2.7660875232610262,3.1556200000000016,75.02000000000001,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9d90>,Cc1cc(CN(C)C(=O)C(C)(C)c2cccc(N)c2)no1,0.8769082385320968,2.5363067783269067,2.5014200000000004,72.36,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9e00>,C#Cc1cccc(NCc2ccc(CN3CCOCC3)cc2F)c1,0.854639487538163,2.219961595198809,3.2513000000000023,24.5,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9e70>,Cc1cn2cc(C(=O)NCc3ccc(F)cc3)nc2s1,0.8056223434347909,2.329387860168765,2.773320000000001,46.4,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9ee0>,Cc1cccc(N2CCCC(NC(=O)Nc3ccc(F)c(C)c3)C2)n1,0.8954796579321945,2.5887263547666404,3.6280400000000013,57.260000000000005,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9f50>,CC(C)(C)OC(=O)NCC1CCCCN1C(=O)OC(C)(C)C,0.848883411325038,2.6367839877878136,3.3007000000000026,67.87,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291b9fc0>,CC(C)NC(=O)c1nn(-c2ccccc2)c(=O)c2ccccc12,0.8084440342846373,1.8600155126188032,2.5239000000000003,63.99,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba030>,CCOC(=O)CCC(=O)N=c1[nH]c2ccccc2[nH]1,0.8122382120346615,2.6105361230116984,1.2665999999999995,87.31,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba0a0>,CCc1ccc(C(=O)NCc2ccccc2-n2ccnc2C)o1,0.7866443408674225,2.262731381365443,3.2661200000000017,60.06,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba110>,C=CCn1c(C)cc(C(=O)CN2CCCC2c2ccc[nH]2)c1C,0.6534540622972982,3.1404598853133106,3.638840000000002,41.03,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba180>,CC1(C)Oc2ccc(NC(=O)C3(c4ccc(F)cc4)CC3)cc2NC1=O,0.884856179973284,2.4652102586944302,3.605500000000002,67.43,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba1f0>,Cc1cc(CNC(=O)C2c3cc(F)ccc3OC2C)sc1C,0.9369132115443742,3.3049386632172615,3.684940000000002,38.33,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba260>,Cn1c(C(=O)NCc2ccco2)cc2c(Cl)cccc21,0.8031979527492278,2.139112556525042,3.354700000000002,47.17,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba2d0>,COc1cccc(C(C)C)c1NC(=O)c1nc[nH]c1C,0.8990909621246935,2.3637924387480815,3.1024200000000004,67.00999999999999,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba340>,Cc1ccccc1C(CNS(=O)(=O)c1cccs1)OCCO,0.7707693511809873,2.8555296539125674,2.0850200000000005,75.63000000000001,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba3b0>,CCc1nc2n(n1)CCCC2NC(=O)c1ccc(=O)n(C)n1,0.8736398399499022,3.2259410683046266,0.19910000000000033,94.7,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba420>,C=CCOCC1CCC2C(CCN2Cc2cccc(C#N)c2)O1,0.5983791441274325,3.6155851800249508,2.8827800000000012,45.489999999999995,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba490>,Cc1cc(=O)[nH]c(SCC(=O)Nc2cccc(C#N)c2)n1,0.6609139342037276,2.3320777794934475,1.6807999999999998,98.64,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba500>,CCOC(=O)c1c(C)[nH]c(C(=O)N2CCCSc3ccccc32)c1C,0.8440575726953445,2.4390345328799405,3.950840000000003,62.400000000000006,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba570>,COc1cc(OC)cc(C(=O)NC(C)CCc2ccccc2)c1,0.851390177931169,2.175425565786684,3.454900000000002,47.56,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba5e0>,CNS(=O)(=O)c1nc2sc(C)cc2c(=O)[nH]1,0.7536000827465758,2.987675845652447,0.2011199999999998,91.91999999999999,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba650>,Cc1ccc2nnc(SCc3cccc(C(N)=O)c3)n2c1,0.750758127555564,2.175205158893707,2.4289199999999997,73.28,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba6c0>,CCCS(=O)(=O)c1ccc(C(=O)C(C)OC)cc1,0.7425726767669444,2.4854925353728117,2.0879000000000003,60.44,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba730>,Cc1ccc(NC(=O)C(C)Sc2nncn2C2CC2)c(O)c1,0.6543389507317207,2.801693010703845,2.7463200000000008,80.04,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba7a0>,CC(OC(=O)Cn1c(=O)cnc2ccccc21)C1CC1,0.7953245931765912,2.735602932244861,1.7382,61.19,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba810>,CCOC(=O)C(NC(=O)Cn1nnn(C)c1=O)C(C)C,0.6494636328685031,2.8812156732774152,-1.3192999999999988,108.10999999999999,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba880>,Cc1cc(N2CCCC2C(=O)NC(C)c2ccncc2)n2ncnc2n1,0.7692173898462082,3.33607245753704,1.6739199999999999,88.31,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba8f0>,COc1ccc(CNc2nc3nc(C)sc3c(=O)[nH]2)cc1,0.7728081681858587,2.511890543509093,2.30872,79.9,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba960>,COC(=O)c1cccc(S(=O)(=O)NCC=Cc2ccccc2)c1,0.825455186641315,2.007027583624721,2.4649,72.47,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291ba9d0>,Cc1nc(C(=O)NC(C)(C)C(C)(C)C)nn1-c1ccc(Cl)cc1,0.9286959002090515,2.5537670113092688,3.7836200000000026,59.81,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291baa40>,C#CCOCCC(=O)N(Cc1ccccc1)C(C)C,0.5558770257850313,2.2413702787930223,2.4635000000000007,29.54,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291baab0>,Cc1csc(=O)n1CCC(=O)N1CCCC1Cn1cccn1,0.8385745315804287,3.0610066478863347,1.4960200000000001,60.13,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f291bab20>,CC(C)c1cc(=O)[nH]c(-c2cccc(NC(=O)c3cnn(C)c3)c2)n1,0.7649988406995052,2.4931591482645548,2.546100000000001,92.67,0.984,1.0,0.871
